# qdac_multiple_set	qdac_ch19_curr_ucal	qdac_ch22_curr_ucal	timer
# "Voltage"	"ch19"	"ch22"	"Elapsed time"
# 1001
-5.46	-4.95919e-09	2.40494e-09	25.5656238000374
-5.44	-4.9374e-09	2.38671e-09	25.6776502998546
-5.42	-4.92505e-09	2.38161e-09	25.7897735000588
-5.4	-4.90979e-09	2.35939e-09	25.9016779998783
-5.38	-4.89608e-09	2.34857e-09	26.0137821000535
-5.36	-4.88586e-09	2.33211e-09	26.1255965998862
-5.34	-4.87086e-09	2.32528e-09	26.2377110000234
-5.32	-4.85274e-09	2.30932e-09	26.3496775999665
-5.3	-4.84154e-09	2.29459e-09	26.4617296999786
-5.28	-4.82482e-09	2.2815e-09	26.5736213000491
-5.26	-4.81207e-09	2.26683e-09	26.6856811000034
-5.24	-4.79456e-09	2.24455e-09	26.7975683999248
-5.22	-4.78113e-09	2.23139e-09	26.9096677999478
-5.2	-4.7646e-09	2.21794e-09	27.0215453000274
-5.18	-4.74944e-09	2.1993e-09	27.133512499975
-5.16	-4.73857e-09	2.18752e-09	27.2458051999565
-5.14	-4.72399e-09	2.17763e-09	27.357484200038
-5.12	-4.70916e-09	2.16138e-09	27.4695508000441
-5.1	-4.69219e-09	2.15682e-09	27.5816341999453
-5.08	-4.6781e-09	2.13993e-09	27.6936186000239
-5.06	-4.66885e-09	2.13164e-09	27.8055549999699
-5.04	-4.65379e-09	2.1139e-09	27.9175789998844
-5.02	-4.63969e-09	2.09388e-09	28.0295828999951
-5	-4.62782e-09	2.07865e-09	28.1415118000004
-4.98	-4.61103e-09	2.07452e-09	28.253480500076
-4.96	-4.59908e-09	2.0544e-09	28.3654847999569
-4.94	-4.58445e-09	2.03792e-09	28.4775699998718
-4.92	-4.56976e-09	2.03064e-09	28.5895420999732
-4.9	-4.55668e-09	2.01669e-09	28.7014136998914
-4.88	-4.54258e-09	1.99758e-09	28.8136473998893
-4.86	-4.5239e-09	1.98364e-09	28.9254683000036
-4.84	-4.51259e-09	1.97856e-09	29.0373944998719
-4.82	-4.4934e-09	1.96083e-09	29.1496130998712
-4.8	-4.48752e-09	1.94788e-09	29.2614275000524
-4.78	-4.46496e-09	1.93711e-09	29.3733184000012
-4.76	-4.4556e-09	1.92322e-09	29.485432599904
-4.74	-4.44038e-09	1.91403e-09	29.5973674000707
-4.72	-4.43038e-09	1.90015e-09	29.7094682999887
-4.7	-4.41638e-09	1.8808e-09	29.8215141999535
-4.68	-4.39956e-09	1.86829e-09	29.9332379999105
-4.66	-4.38692e-09	1.85647e-09	30.0453448998742
-4.64	-4.37411e-09	1.84058e-09	30.1575147998519
-4.62	-4.36341e-09	1.8342e-09	30.2693900999147
-4.6	-4.34934e-09	1.80946e-09	30.3813557999674
-4.58	-4.33319e-09	1.7989e-09	30.4933941999916
-4.56	-4.31723e-09	1.79055e-09	30.6053106000181
-4.54	-4.30717e-09	1.77962e-09	30.7172683998942
-4.52	-4.2938e-09	1.75923e-09	30.8292207000777
-4.5	-4.28159e-09	1.74701e-09	30.9412978000473
-4.48	-4.26826e-09	1.73454e-09	31.0532801998779
-4.46	-4.24943e-09	1.71911e-09	31.1651665999088
-4.44	-4.23592e-09	1.70703e-09	31.2771713000257
-4.42	-4.22364e-09	1.69967e-09	31.3893210999668
-4.4	-4.21226e-09	1.68643e-09	31.5012498998549
-4.38	-4.19403e-09	1.67025e-09	31.6135348000098
-4.36	-4.17947e-09	1.65316e-09	31.725438500056
-4.34	-4.16957e-09	1.64562e-09	31.836994699901
-4.32	-4.15816e-09	1.63673e-09	31.9491886000615
-4.3	-4.1445e-09	1.61851e-09	32.0611376999877
-4.28	-4.13136e-09	1.60518e-09	32.1730402000248
-4.26	-4.11434e-09	1.5941e-09	32.285200299928
-4.24	-4.10333e-09	1.57511e-09	32.3971233998891
-4.22	-4.09322e-09	1.56306e-09	32.5090971000027
-4.2	-4.07344e-09	1.55518e-09	32.6212708000094
-4.18	-4.07086e-09	1.54174e-09	32.7332015999127
-4.16	-4.05607e-09	1.52802e-09	32.8450702999253
-4.14	-4.03352e-09	1.51342e-09	32.9571859000716
-4.12	-4.02622e-09	1.50623e-09	33.0693701000419
-4.1	-4.00446e-09	1.49356e-09	33.1811609999277
-4.08	-3.9943e-09	1.47959e-09	33.2930983998813
-4.06	-3.98221e-09	1.46231e-09	33.4051405999344
-4.04	-3.97063e-09	1.45839e-09	33.5172629000153
-4.02	-3.95669e-09	1.43979e-09	33.6291242998559
-4	-3.93994e-09	1.42972e-09	33.7411821000278
-3.98	-3.92904e-09	1.41763e-09	33.8530613998882
-3.96	-3.92216e-09	1.40581e-09	33.9651337999385
-3.94	-3.90037e-09	1.39422e-09	34.0772202999797
-3.92	-3.886e-09	1.38057e-09	34.1889325000811
-3.9	-3.8758e-09	1.36529e-09	34.3009112
-3.88	-3.86983e-09	1.35982e-09	34.4129734998569
-3.86	-3.84982e-09	1.34193e-09	34.5251155998558
-3.84	-3.84204e-09	1.32695e-09	34.6368942998815
-3.82	-3.82328e-09	1.3242e-09	34.7492646998726
-3.8	-3.81272e-09	1.30814e-09	34.8609205000103
-3.78	-3.80026e-09	1.29159e-09	34.9730618000031
-3.76	-3.78781e-09	1.28196e-09	35.084948200034
-3.74	-3.77425e-09	1.26602e-09	35.1968838998582
-3.72	-3.75905e-09	1.24849e-09	35.3089864000212
-3.7	-3.75044e-09	1.24233e-09	35.4209141000174
-3.68	-3.73597e-09	1.23011e-09	35.5328955999576
-3.66	-3.72489e-09	1.23021e-09	35.6448460000101
-3.64	-3.71184e-09	1.21039e-09	35.7568800000008
-3.62	-3.70649e-09	1.19802e-09	35.868851199979
-3.6	-3.68938e-09	1.18812e-09	35.980955200037
-3.58	-3.6769e-09	1.17075e-09	36.0928509000223
-3.56	-3.66814e-09	1.16391e-09	36.2048080998939
-3.54	-3.65267e-09	1.14383e-09	36.3168711999897
-3.52	-3.6369e-09	1.13423e-09	36.4289623999503
-3.5	-3.62276e-09	1.12571e-09	36.5407829000615
-3.48	-3.60576e-09	1.12063e-09	36.6528894000221
-3.46	-3.59475e-09	1.10201e-09	36.7648779000156
-3.44	-3.58825e-09	1.08252e-09	36.8768829999026
-3.42	-3.57736e-09	1.07316e-09	36.9889442999847
-3.4	-3.56355e-09	1.05999e-09	37.1007767999545
-3.38	-3.54828e-09	1.05352e-09	37.2128045998979
-3.36	-3.537e-09	1.04238e-09	37.3249282999896
-3.34	-3.52219e-09	1.0279e-09	37.4368608999066
-3.32	-3.51192e-09	1.01565e-09	37.5487289000303
-3.3	-3.49639e-09	9.93893e-10	37.6608965999912
-3.28	-3.48573e-09	9.90895e-10	37.7727328999899
-3.26	-3.46847e-09	9.85149e-10	37.8849092000164
-3.24	-3.45893e-09	9.67793e-10	37.9967304999009
-3.22	-3.44992e-09	9.56381e-10	38.1087013999932
-3.2	-3.43965e-09	9.46144e-10	38.2207807998639
-3.18	-3.42515e-09	9.35e-10	38.332659299951
-3.16	-3.4149e-09	9.20629e-10	38.4447256999556
-3.14	-3.398e-09	9.13595e-10	38.5568065999541
-3.12	-3.38841e-09	8.99447e-10	38.6686537000351
-3.1	-3.37642e-09	8.87456e-10	38.7807024999056
-3.08	-3.36225e-09	8.76154e-10	38.8926414998714
-3.06	-3.34904e-09	8.62899e-10	39.0047073999885
-3.04	-3.33991e-09	8.48562e-10	39.1167130998801
-3.02	-3.32665e-09	8.39882e-10	39.2286100999918
-3	-3.31636e-09	8.34968e-10	39.3405134999193
-2.98	-3.29588e-09	8.21582e-10	39.4526595999487
-2.96	-3.28391e-09	8.05487e-10	39.564664100064
-2.94	-3.2743e-09	7.96557e-10	39.6765560000204
-2.92	-3.26224e-09	7.87933e-10	39.7886188998818
-2.9	-3.24641e-09	7.76675e-10	39.9005597999785
-2.88	-3.23474e-09	7.56803e-10	40.0125301000662
-2.86	-3.22396e-09	7.44363e-10	40.1245405999944
-2.84	-3.21395e-09	7.3768e-10	40.236579899909
-2.82	-3.19443e-09	7.28431e-10	40.3485477999784
-2.8	-3.18957e-09	7.19463e-10	40.4605069998652
-2.78	-3.18045e-09	7.06072e-10	40.5726576999296
-2.76	-3.16179e-09	6.97302e-10	40.6845543000381
-2.74	-3.14869e-09	6.83541e-10	40.7964568000752
-2.72	-3.14102e-09	6.75228e-10	40.9084348999895
-2.7	-3.12628e-09	6.61524e-10	41.0204912000336
-2.68	-3.11505e-09	6.50672e-10	41.1324173000176
-2.66	-3.10307e-09	6.36743e-10	41.2444994999096
-2.64	-3.08944e-09	6.21124e-10	41.3565752999857
-2.62	-3.07895e-09	6.11462e-10	41.4684675000608
-2.6	-3.07201e-09	6.04861e-10	41.5803789999336
-2.58	-3.05272e-09	5.97311e-10	41.6925514000468
-2.56	-3.0461e-09	5.8334e-10	41.8045026999898
-2.54	-3.03862e-09	5.71193e-10	41.9163875000086
-2.52	-3.01986e-09	5.52104e-10	42.0283716998529
-2.5	-3.00846e-09	5.41603e-10	42.1404224999715
-2.48	-2.99505e-09	5.39917e-10	42.2524733999744
-2.46	-2.98804e-09	5.22946e-10	42.3644421999343
-2.44	-2.96986e-09	5.12418e-10	42.4764870000072
-2.42	-2.95857e-09	5.03207e-10	42.5883983999956
-2.4	-2.94755e-09	4.94771e-10	42.7003456000239
-2.38	-2.93975e-09	4.83141e-10	42.8123991000466
-2.36	-2.93157e-09	4.71674e-10	42.9243562999181
-2.34	-2.91864e-09	4.57196e-10	43.0362531999126
-2.32	-2.90349e-09	4.50115e-10	43.1483372000512
-2.3	-2.89408e-09	4.35092e-10	43.2602961999364
-2.28	-2.88542e-09	4.26877e-10	43.3722780998796
-2.26	-2.87375e-09	4.10719e-10	43.4843041000422
-2.24	-2.85301e-09	4.01264e-10	43.5962409998756
-2.22	-2.84692e-09	3.93372e-10	43.7082447998691
-2.2	-2.83137e-09	3.83563e-10	43.8202376000118
-2.18	-2.82199e-09	3.6311e-10	43.9322502999566
-2.16	-2.81711e-09	3.60698e-10	44.0441763000563
-2.14	-2.7956e-09	3.45714e-10	44.1564136000816
-2.12	-2.79364e-09	3.378e-10	44.2683043999132
-2.1	-2.77069e-09	3.2623e-10	44.3801925999578
-2.08	-2.75965e-09	3.13753e-10	44.4921965000685
-2.06	-2.74862e-09	3.09335e-10	44.6042506999802
-2.04	-2.74059e-09	2.96443e-10	44.7162408998702
-2.02	-2.72996e-09	2.82738e-10	44.8281497000717
-2	-2.72033e-09	2.7465e-10	44.940206799889
-1.98	-2.70588e-09	2.6296e-10	45.0521835000254
-1.96	-2.69617e-09	2.52157e-10	45.1641891000327
-1.94	-2.67858e-09	2.40501e-10	45.276067599887
-1.92	-2.66675e-09	2.35651e-10	45.388252899982
-1.9	-2.6576e-09	2.24517e-10	45.5001570999157
-1.88	-2.64581e-09	2.13726e-10	45.6121455000248
-1.86	-2.63456e-09	1.98899e-10	45.7242566999048
-1.84	-2.62746e-09	1.93358e-10	45.8360911000054
-1.82	-2.61066e-09	1.79673e-10	45.9481122998986
-1.8	-2.60193e-09	1.70588e-10	46.0602480000816
-1.78	-2.5913e-09	1.57859e-10	46.1722687999718
-1.76	-2.58462e-09	1.49001e-10	46.2842790000141
-1.74	-2.56476e-09	1.40641e-10	46.3961473999079
-1.72	-2.5559e-09	1.30533e-10	46.5079937998671
-1.7	-2.54636e-09	1.19816e-10	46.6200786000118
-1.68	-2.54142e-09	1.07147e-10	46.7320904999506
-1.66	-2.51877e-09	9.49839e-11	46.8439539999235
-1.64	-2.51278e-09	8.69998e-11	46.9560205999296
-1.62	-2.49649e-09	7.95485e-11	47.0680611999705
-1.6	-2.49165e-09	6.75341e-11	47.1802306000609
-1.58	-2.48236e-09	5.67631e-11	47.2919570000377
-1.56	-2.47131e-09	4.6665e-11	47.4039721998852
-1.54	-2.45887e-09	3.22258e-11	47.5159839999396
-1.52	-2.44868e-09	2.17442e-11	47.6279263999313
-1.5	-2.43726e-09	1.38809e-11	47.7399819998536
-1.48	-2.4193e-09	7.95379e-13	47.851939599961
-1.46	-2.40901e-09	-3.41955e-12	47.9638743998948
-1.44	-2.39684e-09	-2.04234e-11	48.075756700011
-1.42	-2.38241e-09	-3.04791e-11	48.1878730000462
-1.4	-2.37281e-09	-3.72943e-11	48.2998186000623
-1.38	-2.36624e-09	-4.80938e-11	48.4118061000481
-1.36	-2.35179e-09	-6.11855e-11	48.5238711999264
-1.34	-2.34177e-09	-6.69459e-11	48.6358229999896
-1.32	-2.33519e-09	-8.19519e-11	48.7478513000533
-1.3	-2.32222e-09	-9.56716e-11	48.8598020998761
-1.28	-2.30565e-09	-1.02653e-10	48.9718055999838
-1.26	-2.30316e-09	-1.13185e-10	49.0840773999225
-1.24	-2.27708e-09	-1.2263e-10	49.19585369993
-1.22	-2.27308e-09	-1.34896e-10	49.3077398999594
-1.2	-2.26484e-09	-1.39177e-10	49.419781500008
-1.18	-2.25279e-09	-1.51194e-10	49.531852300046
-1.16	-2.24042e-09	-1.62465e-10	49.6439906999003
-1.14	-2.22935e-09	-1.71487e-10	49.7557751999702
-1.12	-2.21625e-09	-1.74663e-10	49.8677550998982
-1.1	-2.21076e-09	-1.82786e-10	49.9800213999115
-1.08	-2.19654e-09	-1.88496e-10	50.0917742999736
-1.06	-2.18419e-09	-2.10245e-10	50.2039550999179
-1.04	-2.1796e-09	-2.20426e-10	50.3157758000307
-1.02	-2.16096e-09	-2.27225e-10	50.4277260999661
-1	-2.14823e-09	-2.42819e-10	50.539722800022
-0.98	-2.14108e-09	-2.55547e-10	50.6517534998711
-0.959999999999999	-2.12345e-09	-2.62263e-10	50.7637590998784
-0.94	-2.11796e-09	-2.76135e-10	50.8757140000816
-0.92	-2.10421e-09	-2.81425e-10	50.9877211998682
-0.9	-2.10144e-09	-2.89248e-10	51.0996449999511
-0.879999999999999	-2.08768e-09	-2.97751e-10	51.2121649999171
