# qdac_multiple_set	qdac_ch01_curr_ucal	qdac_ch02_curr_ucal	qdac_ch03_curr_ucal	qdac_ch04_curr_ucal	qdac_ch05_curr_ucal	qdac_ch06_curr_ucal	qdac_ch07_curr_ucal	qdac_ch08_curr_ucal	qdac_ch09_curr_ucal	qdac_ch10_curr_ucal	qdac_ch11_curr_ucal	qdac_ch12_curr_ucal	qdac_ch13_curr_ucal	qdac_ch14_curr_ucal	qdac_ch15_curr_ucal	qdac_ch16_curr_ucal	qdac_ch17_curr_ucal	qdac_ch18_curr_ucal	qdac_ch19_curr_ucal	qdac_ch20_curr_ucal	qdac_ch21_curr_ucal	qdac_ch22_curr_ucal	qdac_ch23_curr_ucal	qdac_ch24_curr_ucal	timer
# "Voltage"	"ch1"	"ch2"	"ch3"	"ch4"	"ch5"	"ch6"	"ch7"	"ch8"	"ch9"	"ch10"	"ch11"	"ch12"	"ch13"	"ch14"	"ch15"	"ch16"	"ch17"	"ch18"	"ch19"	"ch20"	"ch21"	"ch22"	"ch23"	"ch24"	"Elapsed time"
# 1001
-9.56	-7.06261e-09	-7.23335e-09	3.65397e-09	1.16842e-10	-1.10994e-09	7.12613e-10	-6.72558e-09	-4.37209e-09	4.16149e-09	-4.10122e-09	-3.6726e-09	-9.13286e-09	-8.99293e-10	2.00963e-09	-3.20605e-11	6.95949e-10	-1.06025e-09	6.50088e-10	-8.65796e-09	-5.51242e-09	-3.25738e-09	6.4659e-09	-2.00018e-10	5.45235e-09	11.559864000068
-9.54	-7.04191e-09	-7.21605e-09	3.6399e-09	1.18813e-10	-1.10889e-09	7.22324e-10	-6.70136e-09	-4.35926e-09	4.148e-09	-4.08708e-09	-3.64607e-09	-9.09174e-09	-8.90212e-10	2.00299e-09	-3.09889e-11	6.94592e-10	-1.05995e-09	6.47171e-10	-8.62817e-09	-5.50631e-09	-3.24932e-09	6.4409e-09	-1.92504e-10	5.42931e-09	12.039797400008
-9.52	-7.01778e-09	-7.19605e-09	3.6334e-09	1.14906e-10	-1.11666e-09	7.14921e-10	-6.68418e-09	-4.33969e-09	4.13133e-09	-4.07294e-09	-3.6205e-09	-9.06263e-09	-8.82255e-10	2.01075e-09	-3.50972e-11	6.92851e-10	-1.05494e-09	6.53596e-10	-8.60196e-09	-5.49234e-09	-3.23626e-09	6.41888e-09	-1.87378e-10	5.41294e-09	12.5198276999872
-9.5	-6.99329e-09	-7.181e-09	3.62354e-09	1.15882e-10	-1.11542e-09	7.13443e-10	-6.67443e-09	-4.32021e-09	4.11746e-09	-4.06219e-09	-3.59064e-09	-9.02347e-09	-8.71125e-10	2.0017e-09	-3.39259e-11	6.79196e-10	-1.0442e-09	6.41079e-10	-8.58246e-09	-5.47438e-09	-3.22387e-09	6.38933e-09	-1.87568e-10	5.39126e-09	12.9999513000948
-9.48	-6.97262e-09	-7.16687e-09	3.60997e-09	1.13559e-10	-1.11031e-09	7.10709e-10	-6.6519e-09	-4.30685e-09	4.10672e-09	-4.04994e-09	-3.56979e-09	-8.99167e-09	-8.65276e-10	1.9978e-09	-2.9939e-11	6.78535e-10	-1.04729e-09	6.3877e-10	-8.55415e-09	-5.46254e-09	-3.22366e-09	6.36583e-09	-1.85132e-10	5.37057e-09	13.4798454000847
-9.46	-6.95426e-09	-7.14425e-09	3.59646e-09	1.18499e-10	-1.11804e-09	7.18196e-10	-6.63711e-09	-4.28903e-09	4.08784e-09	-4.03796e-09	-3.53668e-09	-8.95405e-09	-8.59818e-10	2.00177e-09	-3.36363e-11	6.7673e-10	-1.04547e-09	6.36726e-10	-8.53077e-09	-5.44828e-09	-3.21253e-09	6.33889e-09	-1.83079e-10	5.34814e-09	13.9596146000549
-9.44	-6.9303e-09	-7.13229e-09	3.58604e-09	1.05814e-10	-1.11536e-09	7.15197e-10	-6.615e-09	-4.27377e-09	4.07548e-09	-4.02654e-09	-3.52465e-09	-8.92778e-09	-8.5364e-10	1.99761e-09	-3.91855e-11	6.64694e-10	-1.04017e-09	6.29114e-10	-8.50637e-09	-5.43981e-09	-3.20976e-09	6.31904e-09	-1.71574e-10	5.32633e-09	14.4397923999932
-9.42	-6.90923e-09	-7.11368e-09	3.57865e-09	1.09523e-10	-1.11431e-09	7.10593e-10	-6.60659e-09	-4.25857e-09	4.05974e-09	-4.00652e-09	-3.49551e-09	-8.89017e-09	-8.5277e-10	1.99272e-09	-3.69381e-11	6.60767e-10	-1.03716e-09	6.31474e-10	-8.48003e-09	-5.42628e-09	-3.18871e-09	6.2959e-09	-1.68144e-10	5.30954e-09	14.9196242000908
-9.4	-6.89521e-09	-7.09966e-09	3.56674e-09	1.10736e-10	-1.11831e-09	7.11225e-10	-6.57989e-09	-4.23858e-09	4.04539e-09	-3.99839e-09	-3.4757e-09	-8.85465e-09	-8.43109e-10	1.99702e-09	-4.40389e-11	6.58591e-10	-1.0276e-09	6.26989e-10	-8.45214e-09	-5.40341e-09	-3.18809e-09	6.26646e-09	-1.66083e-10	5.28551e-09	15.3996535000624
-9.38	-6.87247e-09	-7.08304e-09	3.55171e-09	1.17347e-10	-1.11751e-09	7.13025e-10	-6.55995e-09	-4.22283e-09	4.03082e-09	-3.98654e-09	-3.45304e-09	-8.82259e-09	-8.31644e-10	1.98796e-09	-4.12423e-11	6.52701e-10	-1.02379e-09	6.26925e-10	-8.43092e-09	-5.4017e-09	-3.17941e-09	6.23966e-09	-1.63692e-10	5.27084e-09	15.8796216000337
-9.36	-6.85292e-09	-7.06696e-09	3.54207e-09	1.09515e-10	-1.12404e-09	7.14019e-10	-6.54319e-09	-4.21106e-09	4.01245e-09	-3.97155e-09	-3.41855e-09	-8.78501e-09	-8.21349e-10	1.98465e-09	-4.37339e-11	6.44286e-10	-1.02304e-09	6.18223e-10	-8.4084e-09	-5.38917e-09	-3.17329e-09	6.21116e-09	-1.54439e-10	5.24809e-09	16.3594245000277
